U_in / V, U_in_error / V, Frequency / Hz, Frequency_error / Hz
4.39, 0.03,  1.70, 0.10
4.27, 0.03,  2.92, 0.10
4.05, 0.03,  4.71, 0.10
3.83, 0.03,  6.24, 0.10
3.70, 0.03,  7.09, 0.10
3.49, 0.03,  8.41, 0.10
3.29, 0.03,  9.50, 0.10
3.16, 0.03, 10.34, 0.10
3.01, 0.03, 11.1 , 0.3
2.92, 0.03, 11.60, 0.10
2.80, 0.03, 12.38, 0.10
2.70, 0.03, 12.81, 0.10
2.61, 0.03, 13.4 , 0.3
2.50, 0.03, 13.80, 0.10
2.41, 0.03, 14.28, 0.10
2.32, 0.03, 14.66, 0.10
2.20, 0.03, 15.3 , 0.3
2.10, 0.03, 15.6 , 0.3
1.90, 0.03, 16.67, 0.10
1.75, 0.03, 17.3 , 0.3
