U_in / V, U_in_error / V, Frequency / Hz, Frequency_error / Hz
4.39, 0.2,  1.70, 0.10
4.27, 0.2,  2.92, 0.10
4.05, 0.2,  4.71, 0.10
3.83, 0.2,  6.24, 0.10
3.70, 0.2,  7.09, 0.10
3.49, 0.2,  8.41, 0.10
3.29, 0.2,  9.50, 0.10
3.16, 0.2, 10.34, 0.10
3.01, 0.2, 11.1 , 0.3
2.92, 0.2, 11.60, 0.10
2.80, 0.2, 12.38, 0.10
2.70, 0.2, 12.81, 0.10
2.61, 0.2, 13.4 , 0.3
2.50, 0.2, 13.80, 0.10
2.41, 0.2, 14.28, 0.10
2.32, 0.2, 14.66, 0.10
2.20, 0.2, 15.3 , 0.3
2.10, 0.2, 15.6 , 0.3
1.90, 0.2, 16.67, 0.10
1.75, 0.2, 17.3 , 0.3
