{'trials': 20, 'sleeptime': 0.9, 'target_freq': 125, 'theoretical_target_freq': 137.12724434345407}
freq,A,A_std,phi,phi_std
121.0,2.3730604673993905e-06,2.4836555901193165e-07,0.2494936835828681,0.3777564657834083
121.03893412643862,2.594663518218342e-06,1.1738744124198596e-07,0.33236733091310644,0.392349163063775
121.07788078069716,2.6219254238739464e-06,1.269610317466398e-07,-0.0021149142342041572,0.41247704040269856
121.11683996680662,2.665018745978224e-06,1.1520092959361406e-07,0.17528326426181762,0.38547987029598074
121.15581168879936,2.7192730456160283e-06,1.2645238301157707e-07,0.5332723435881273,0.37927049381065164
121.19479595070906,2.6997796909767905e-06,1.1679354010159695e-07,0.08370992626336848,0.3956362475958275
121.2337927565707,3.113888229877174e-06,6.706343706983699e-08,2.4185905880633216,0.07377018279713315
121.27280211042063,2.842167954214218e-06,1.2069202957067276e-07,0.34747433918027704,0.3717405462258611
121.31182401629617,2.9011232734423563e-06,1.0394920689719267e-07,0.11530895134260015,0.3952487249081787
121.35085847823633,2.9417155156499764e-06,1.264782244072458e-07,0.6368614625515523,0.365593176891099
121.38990550028124,3.0773711000996968e-06,1.081462232977147e-07,0.16252391034843888,0.3993968885405144
121.42896508647239,3.0001493506087693e-06,1.1332560920678539e-07,0.519488274945689,0.38966689438167285
121.46803724085252,3.019472885139211e-06,1.1948504004876287e-07,-0.10524530705540622,0.42489454813061306
121.50712196746571,3.107035935836013e-06,1.2197903373605445e-07,0.33501150942352875,0.3797251011988649
121.5462192703573,3.0852851793069517e-06,1.2988270907801142e-07,0.3471643544851968,0.4101583160047099
121.58532915357397,3.1294637057605096e-06,1.215950069549945e-07,0.08990697885905337,0.3975019876611108
121.62445162116369,3.1262099233754833e-06,1.1896670017039547e-07,0.18932718242803842,0.41446721453888424
121.6635866771757,3.437564842108785e-06,1.1956127222006385e-07,0.4915798491985467,0.4118407231645792
121.70273432566061,3.4529995128780315e-06,1.3428874935452957e-07,0.24841961934508325,0.3758468046276763
121.74189457067041,3.601126392580681e-06,1.3645305138743637e-07,0.337097271701584,0.37945248253972375
121.78106741625801,3.6102138439775168e-06,1.297316462458331e-07,0.18506732330399042,0.4245144825352413
121.82025286647804,3.3218972799622187e-06,1.0374209882675772e-07,-0.9732679412261962,0.3508017147811178
121.85945092538628,3.839770464031166e-06,1.469332813820412e-07,0.34536296944991574,0.5008043732178225
121.89866159703982,3.858697346305419e-06,1.6042206668901912e-07,-0.028489047769854635,0.41622556773177616
121.93788488549707,4.0222231640877695e-06,1.390990327564805e-07,0.5542159339900717,0.3768889131945188
121.97712079481771,4.038196173326365e-06,1.5445009966527934e-07,-0.17161112625544436,0.3969604611099472
122.01636932906278,4.039968216883168e-06,1.3407680757197298e-07,0.4645168842698911,0.40154814425356894
122.05563049229458,4.458518101357809e-06,1.3660917609457375e-07,0.4923975516981131,0.38488783438131435
