{'trials': 20, 'sleeptime': 0.9, 'target_freq': 4812.478834467755, 'theoretical_target_freq': 4812.478834467755}
freq,A,A_std,phi,phi_std
4802.478834467755,1.577664787825695e-07,1.4334814565506321e-08,0.23074815029544257,0.06859218006857029
4802.5791293346265,1.659302515498273e-07,1.3632959364369551e-08,0.1831998042653161,0.07211337952054
4802.679426296051,1.5811995128637982e-07,1.520375119040176e-08,0.09668803219249296,0.06943027277751807
4802.77972535207,1.6077497601943308e-07,1.2799232566741482e-08,0.13944710275402103,0.05597824815882131
4802.880026502738,1.5677086835781326e-07,1.4870936141240682e-08,0.1681329958020296,0.07198781605846746
4802.980329748092,1.4621964090445782e-07,9.669065657475392e-09,0.20208595767226667,0.06778620510345446
4803.080635088178,1.4846434243345145e-07,1.513826117128855e-08,0.2973364965202546,0.07868431263300904
4803.180942523033,1.4730070794468753e-07,1.157043957460964e-08,0.32037701508631733,0.09027829068772057
4803.281252052711,1.5414828080451898e-07,1.3898394736463577e-08,-0.006217749727338068,0.08553926456738772
4803.381563677252,1.5196477627613836e-07,1.1793444728626165e-08,0.17748708786724413,0.08088326848855792
4803.481877396699,1.503623104641697e-07,1.3722564614307023e-08,0.15086188295215158,0.06812388754204701
4803.582193211095,1.3950163561234876e-07,1.1267860625423668e-08,0.18026201312952997,0.06359485647182495
4803.682511120479,1.5148720819008155e-07,1.3325962919757218e-08,0.08373684681053731,0.08546766187467854
4803.782831124906,1.5064981097353805e-07,1.3331606155368616e-08,0.1465419554842292,0.0725079540391404
4803.883153224413,1.4385507173934415e-07,1.2610944324015042e-08,0.31138434009669347,0.06661359873815702
4803.983477419045,1.3109126675231106e-07,1.1597585484217013e-08,0.2446121240088584,0.0872088254786188
4804.083803708845,1.3801685872856634e-07,1.2651772023513057e-08,0.3105072370938234,0.07887052468051445
4804.184132093853,1.3999656803913515e-07,1.3040247193331496e-08,0.19912446611164789,0.08737197333560559
4804.284462574122,1.5457428574465506e-07,1.3429054669874802e-08,0.0937502410567068,0.06552101550096916
4804.384795149689,1.217570140763652e-07,7.665603443982072e-09,0.27211443192682105,0.086833121786847
4804.485129820601,1.688291014976724e-07,1.6388615694268717e-08,0.08615035499723252,0.04381491293936171
4804.585466586895,1.6337963382580923e-07,1.4674970614867489e-08,0.15181526029257097,0.05092357556995657
4804.685805448624,1.4087623317357055e-07,1.0377588657356237e-08,0.1768191886644777,0.0819846954334516
4804.786146405828,1.3958629585125996e-07,1.0039088630260522e-08,0.20066946831728444,0.06643680800451786
4804.88648945855,1.3505188207492166e-07,1.174944498268203e-08,0.10378288492270113,0.0846488882735111
4804.986834606836,1.3671135379517235e-07,1.1586642618746814e-08,0.13389725222944934,0.07900173034820426
4805.087181850721,1.5078449287705901e-07,1.4385820636668809e-08,0.16207811194819183,0.07824188925468932
4805.187531190262,1.5512160495922958e-07,9.841970521376093e-09,0.17954777600016011,0.07518878440705355
4805.2878826254955,1.6889118312309393e-07,1.2197885602188483e-08,0.18232270126244599,0.06479230886629271
4805.388236156467,1.51743148368629e-07,1.4532750811832276e-08,0.2444328224265929,0.06951016762145454
4805.48859178322,1.4362042454560821e-07,1.520390353386138e-08,0.16863802913129564,0.0935260015298218
4805.588949505792,1.587695869350315e-07,1.3308302417061819e-08,0.2517069767390666,0.10309596013272594
4805.689309324237,1.2933588766105329e-07,1.094812349886362e-08,0.12784236837561158,0.07097556041879557
4805.7896712385955,1.4617918452157574e-07,1.0016601251440293e-08,0.2686716074617688,0.0661032207688502
4805.890035248909,1.4209055237752625e-07,1.0149568771749527e-08,0.22852459628902627,0.09985485925288842
4805.990401355219,1.4785862483389064e-07,1.3486710240512258e-08,0.3233148062221035,0.07901593313131984
4806.090769557576,1.3694528035712349e-07,1.3912207207896315e-08,0.18941755399265417,0.06609010871822713
4806.1911398560205,1.451711734238327e-07,1.5289425114678922e-08,0.30013242577206317,0.0851236544299085
4806.291512250597,1.6713103035284197e-07,1.3587160654819313e-08,0.05103750842178216,0.05481171140684372
4806.391886741349,1.6593245153182809e-07,1.3400413293323295e-08,0.25967893247214496,0.07415414755813149
4806.492263328313,1.502559705597116e-07,1.2841618494487117e-08,0.176609984864374,0.07892167564094046
4806.592642011546,1.404808142630562e-07,1.0931927606759693e-08,0.22159260943231834,0.07895385788937877
4806.693022791084,1.3232394598240117e-07,1.3445023837179659e-08,0.2650195791966129,0.0892722703620415
4806.793405666974,1.4793801338808806e-07,1.2225678293628266e-08,0.2139820707748307,0.06978066734926106
4806.893790639251,1.4259473280409666e-07,1.1547168866281195e-08,0.13389725222944934,0.06937011651232161
4806.994177707972,1.7198086707273483e-07,1.4658753973155958e-08,0.13069356797544668,0.07389021367560987
4807.094566873174,1.4303963072744338e-07,1.0098673282557054e-08,0.2555218708777228,0.05232486848906795
4807.194958134901,1.499965680391351e-07,1.11826418535181e-08,0.1150347992473314,0.05278481194619978
4807.295351493197,1.5223552350027e-07,1.106649308633664e-08,0.2150027900313763,0.08383149925342459
4807.3957469481,1.6576069223229597e-07,1.4183428553544512e-08,0.15840507969351308,0.04862733371268706
4807.496144499666,1.4699419816866983e-07,9.728066880808896e-09,0.2707322955946848,0.05679039648570394
4807.596544147932,1.3971913132378513e-07,1.2203614919618831e-08,0.18026201312952997,0.06151619403028025
4807.696945892942,1.5360343157027343e-07,1.0679386241344396e-08,0.2980717376391472,0.09037867213297583
4807.797349734739,1.3650916439472427e-07,1.3210314220816521e-08,0.10655781018498697,0.07651757589156538
4807.897755673364,1.426537220403422e-07,7.984095402851766e-09,0.26656458140224937,0.06170033572100916
4807.998163708869,1.3868636829584043e-07,1.2532141175614197e-08,0.3212541180891875,0.07337080501864139
4808.098573841294,1.4363642226526676e-07,1.0292177123509807e-08,0.2197184875977353,0.09008423040120653
4808.198986070681,1.467601064655412e-07,1.2671762210172291e-08,0.09097531579442099,0.08110566261366728
4808.29940039707,1.3311587796179203e-07,1.4195356695872923e-08,0.11365266291519519,0.058207623573775735
